BatterId,AttackAngle mean,AttackAngle std,BatSpeed mean,ConnectionMean mean,ConnectionMean std,PlanarEfficiency mean,PlanarEfficiency std,RotationalAcceleration mean,labels
002a3a2c,8.232307734246742,7.265432001441332,31.3548730625,72.71337548773995,3.380099648094169,0.802534,0.052910297305282,192.1231346875,1
02923b59,5.829120244441296,6.174803460871924,30.133883919397014,85.74320196273328,8.190388607677509,0.5917479718217554,0.0810851986849363,58.98098203604206,3
0325748c,8.399532061443173,9.132797221650064,31.630133233663344,76.5542052931915,6.106688642749574,0.706606957425744,0.0877756669980952,138.92294822178226,0
0fa51742,9.592016722227529,6.123782053704137,31.143447498811813,97.05245151657223,5.201291797213072,0.6560881434435091,0.064641180233928,148.34092445193323,4
121483c1,3.993341063929919,10.227837532909946,30.94048110055864,85.96354658392444,6.597971355975413,0.79297756424581,0.0681723729201342,151.87057364245803,0
14c00e3d,13.668985754153674,7.070848997200616,32.10859802272727,87.5579449774402,5.799575160029191,0.661241363636364,0.0963077170134824,89.96333412500002,4
14cb62e4,11.460853537049104,7.621993479707268,29.07389129310345,95.86424209477438,13.18594790960125,0.5681143189655173,0.1425696478783858,117.87886081896552,3
1a22f94b,9.263686320259929,6.45325278372047,33.5081781997755,78.84502628642764,4.521548702323861,0.712768492704826,0.0703057278385688,184.8349908585857,1
1ba2cfea,12.435248079695766,8.107181800814317,32.07335564171977,93.91237052674526,8.479537920069168,0.508629323248407,0.0527890280441183,118.23019013535026,4
203ed108,7.105502905555893,6.899672875419984,33.40715108090614,78.28337133104249,4.32948114218771,0.8104464142394817,0.062965347115638,125.48043013592238,2
207a28ae,12.307752275347504,6.395156330721413,32.200666329710145,80.32463501355616,4.532008912489334,0.6951521195652176,0.0861650247235143,87.64805386594206,2
27b2080c,3.401059216275785,5.415066910424942,26.16620192689656,94.16789625409233,6.268917062621161,0.6044613365517241,0.0959514233479764,93.22105956413782,3
2e612ce7,10.827759979632043,5.820980338467057,28.82130991295369,79.4270411565537,5.199116458565964,0.6666630914724113,0.0701790102854738,88.17584467896134,2
2ee2be7b,11.106104291498548,8.628083718919068,29.22122787826087,83.96045034629151,5.7139323008889,0.7960797739130437,0.0964262003093885,126.5524704956522,2
2efd2002,14.71780575773081,7.590362747687835,26.50814380051648,89.59551224389624,5.71784193906112,0.8198783176242737,0.0445354288516872,144.44403715171072,1
3072b17f,12.592459997312996,6.541299575316401,28.04031600404041,89.73987901143589,7.372531103883876,0.7164863767676771,0.0789625150217278,94.09839648484848,4
